Variable,Index,Type,sdev,coef,site
SWup,0,morp,1.1001909505059755,0.9973593906013977,AU-Preston
LWup,0,morp,1.1772654247204486,0.9742457002984625,AU-Preston
Qh,0,morp,0.7486668930698478,0.9279659643003192,AU-Preston
Qle,0,morp,0.5366988361909257,0.4364273294377363,AU-Preston
Qtau,0,morp,0.2334635283912426,0.8707842115895101,AU-Preston
SWup,1,morp,1.101053261035986,0.9973574554485138,AU-Preston
LWup,1,morp,1.1823671225052037,0.974246927554473,AU-Preston
Qh,1,morp,0.7375851253109967,0.9236879136720592,AU-Preston
Qle,1,morp,0.5393017631674949,0.44400434959467716,AU-Preston
Qtau,1,morp,0.23284473297494374,0.8717725216676951,AU-Preston
SWup,2,morp,1.1001909505059755,0.9973593906013977,AU-Preston
LWup,2,morp,1.1419365783723239,0.9818299554076513,AU-Preston
Qh,2,morp,0.9242978776811112,0.9343273845962424,AU-Preston
Qle,2,morp,0.5556891831889972,0.41183771346107656,AU-Preston
Qtau,2,morp,0.43267547665259937,0.8923648072055251,AU-Preston
SWup,3,morp,1.101053261035986,0.9973574554485138,AU-Preston
LWup,3,morp,1.148790183854838,0.9818761739894487,AU-Preston
Qh,3,morp,0.9080193131757159,0.9349467521904421,AU-Preston
Qle,3,morp,0.5526718739265576,0.4243399529275238,AU-Preston
Qtau,3,morp,0.43276586481486407,0.896129241583947,AU-Preston
SWup,4,morp,1.1001909505059755,0.9973593906013977,AU-Preston
LWup,4,morp,1.1818729917257975,0.9740471053309309,AU-Preston
Qh,4,morp,0.7577541155985112,0.926570103741471,AU-Preston
Qle,4,morp,0.5391210405903052,0.43689922005683623,AU-Preston
Qtau,4,morp,0.23335556884087233,0.8703415843781513,AU-Preston
SWup,5,morp,1.101053261035986,0.9973574554485138,AU-Preston
LWup,5,morp,1.187095155585813,0.9740400297708468,AU-Preston
Qh,5,morp,0.7465207913002117,0.9223496701485765,AU-Preston
Qle,5,morp,0.5420467375178283,0.44416106821608603,AU-Preston
Qtau,5,morp,0.23274343995624164,0.8713369349201421,AU-Preston
SWup,6,morp,1.1001909505059755,0.9973593906013977,AU-Preston
