Variable,Index,Type,sdev,coef,site
SWup,23,morp,1.101053261035986,0.9973574876785278,AU-Preston
LWup,23,morp,1.1618466928590696,0.9792620539665222,AU-Preston
Qh,23,morp,0.8656578365910431,0.9334049224853516,AU-Preston
Qle,23,morp,0.5553182658267547,0.4298904240131378,AU-Preston
Qtau,23,morp,0.3699723461081936,0.8901634216308594,AU-Preston
SWup,24,morp,1.1001909505059755,0.9973593354225159,AU-Preston
LWup,24,morp,1.1861859318074066,0.9716100096702576,AU-Preston
Qh,24,morp,0.7172090499398309,0.9235206246376038,AU-Preston
Qle,24,morp,0.5380566503799499,0.44078516960144043,AU-Preston
Qtau,24,morp,0.20690979090695677,0.8660645484924316,AU-Preston
SWup,25,morp,1.101053261035986,0.9973574876785278,AU-Preston
LWup,25,morp,1.19156142664698,0.971604585647583,AU-Preston
Qh,25,morp,0.7058846546103457,0.9180020689964294,AU-Preston
Qle,25,morp,0.541823908295874,0.44680386781692505,AU-Preston
Qtau,25,morp,0.20632838987690258,0.866928219795227,AU-Preston
SWup,26,morp,1.1001909505059755,0.9973593354225159,AU-Preston
LWup,26,morp,1.1499830410150533,0.9793806076049805,AU-Preston
Qh,26,morp,0.8826525242021134,0.9333903193473816,AU-Preston
Qle,26,morp,0.5554884081264824,0.417698472738266,AU-Preston
Qtau,26,morp,0.36965847461278784,0.8870337009429932,AU-Preston
SWup,27,morp,1.101053261035986,0.9973574876785278,AU-Preston
LWup,27,morp,1.1569590798382259,0.9794612526893616,AU-Preston
Qh,27,morp,0.8652641270839024,0.9333352446556091,AU-Preston
Qle,27,morp,0.5546546036252749,0.42962515354156494,AU-Preston
Qtau,27,morp,0.3697545727403666,0.8901675343513489,AU-Preston
SWup,28,morp,1.1001909505059755,0.9973593354225159,AU-Preston
LWup,28,morp,1.192501316621298,0.971291184425354,AU-Preston
Qh,28,morp,0.7264449813902913,0.9217963218688965,AU-Preston
Qle,28,morp,0.541112170171467,0.4412600100040436,AU-Preston
Qtau,28,morp,0.20674501131514983,0.8652039766311646,AU-Preston
SWup,29,morp,1.101053261035986,0.9973574876785278,AU-Preston
LWup,29,morp,1.198018570291029,0.9712606072425842,AU-Preston
Qh,29,morp,0.7149799453890214,0.9163830876350403,AU-Preston
Qle,29,morp,0.5452376562655152,0.44691967964172363,AU-Preston
Qtau,29,morp,0.20617235182993204,0.8660043478012085,AU-Preston
SWup,30,morp,1.1001909505059755,0.9973593354225159,AU-Preston
LWup,30,morp,1.156148682215701,0.9792152047157288,AU-Preston
Qh,30,morp,0.8869080251138783,0.9319878816604614,AU-Preston
Qle,30,morp,0.5589612412266802,0.4190039336681366,AU-Preston
Qtau,30,morp,0.36997370001749486,0.8871322274208069,AU-Preston
SWup,31,morp,1.101053261035986,0.9973574876785278,AU-Preston
LWup,31,morp,1.1633024692536669,0.9792600870132446,AU-Preston
Qh,31,morp,0.8695545376787276,0.9319413900375366,AU-Preston
Qle,31,morp,0.5589652088307285,0.43035462498664856,AU-Preston
Qtau,31,morp,0.37008121807570166,0.8902481198310852,AU-Preston
SWup,32,morp,1.1084736574003191,0.9974383115768433,AU-Preston
LWup,32,morp,1.2282718719120442,0.9753121733665466,AU-Preston
Qh,32,morp,0.8203929501424336,0.9343966245651245,AU-Preston
Qle,32,morp,0.5796574792446053,0.46456751227378845,AU-Preston
Qtau,32,morp,0.23537967796266554,0.8751880526542664,AU-Preston
SWup,33,morp,1.1094124251677195,0.9974367022514343,AU-Preston
LWup,33,morp,1.2339213952494243,0.9754047393798828,AU-Preston
Qh,33,morp,0.8062604346730144,0.9324440360069275,AU-Preston
Qle,33,morp,0.5846223816762176,0.46976763010025024,AU-Preston
Qtau,33,morp,0.23468896347293983,0.875916600227356,AU-Preston
SWup,34,morp,1.1084736574003191,0.9974383115768433,AU-Preston
LWup,34,morp,1.1915669812786924,0.9829195141792297,AU-Preston
Qh,34,morp,0.9906173107731704,0.9353222846984863,AU-Preston
Qle,34,morp,0.5934253155013718,0.4471891224384308,AU-Preston
Qtau,34,morp,0.43943987241700594,0.9022053480148315,AU-Preston
SWup,35,morp,1.1094124251677195,0.9974367022514343,AU-Preston
LWup,35,morp,1.1994203047479257,0.9830668568611145,AU-Preston
Qh,35,morp,0.9707328185824982,0.9369746446609497,AU-Preston
Qle,35,morp,0.5922632364453957,0.4588906466960907,AU-Preston
Qtau,35,morp,0.439685930716105,0.9046908617019653,AU-Preston
SWup,36,morp,1.1084736574003191,0.9974383115768433,AU-Preston
LWup,36,morp,1.2316031465599993,0.9752564430236816,AU-Preston
Qh,36,morp,0.8275270233641755,0.9331510663032532,AU-Preston
Qle,36,morp,0.5815383022843892,0.46488821506500244,AU-Preston
Qtau,36,morp,0.23534874407841277,0.8751032948493958,AU-Preston
SWup,37,morp,1.1094124251677195,0.9974367022514343,AU-Preston
LWup,37,morp,1.2373874854378966,0.9753454327583313,AU-Preston
Qh,37,morp,0.8132659432311601,0.931208610534668,AU-Preston
Qle,37,morp,0.5867790068136272,0.4703294634819031,AU-Preston
Qtau,37,morp,0.23466840465452826,0.8758966326713562,AU-Preston
SWup,38,morp,1.1084736574003191,0.9974383115768433,AU-Preston
LWup,38,morp,1.1948272029293276,0.9829326272010803,AU-Preston
Qh,38,morp,0.9940121983502802,0.9344933032989502,AU-Preston
Qle,38,morp,0.5955624600603462,0.4478176534175873,AU-Preston
Qtau,38,morp,0.4394739556120247,0.902476966381073,AU-Preston
SWup,39,morp,1.1094124251677195,0.9974367022514343,AU-Preston
LWup,39,morp,1.2027798154404181,0.983061671257019,AU-Preston
Qh,39,morp,0.9740464963228819,0.936138391494751,AU-Preston
Qle,39,morp,0.5947431319522878,0.4592774510383606,AU-Preston
Qtau,39,morp,0.43977125643489545,0.9048382639884949,AU-Preston
SWup,40,morp,1.1084736574003191,0.9974383115768433,AU-Preston
LWup,40,morp,1.228473921640579,0.9752790927886963,AU-Preston
Qh,40,morp,0.8249468181036765,0.9326596856117249,AU-Preston
Qle,40,morp,0.5807977543504064,0.46681448817253113,AU-Preston
Qtau,40,morp,0.23558233758209693,0.8762216567993164,AU-Preston
SWup,41,morp,1.1094124251677195,0.9974367022514343,AU-Preston
LWup,41,morp,1.2342043343022695,0.9754325747489929,AU-Preston
Qh,41,morp,0.8115099650797702,0.9308722615242004,AU-Preston
Qle,41,morp,0.5861892635776593,0.47126829624176025,AU-Preston
Qtau,41,morp,0.23490541236427648,0.8770323991775513,AU-Preston
SWup,42,morp,1.1084736574003191,0.9974383115768433,AU-Preston
LWup,42,morp,1.191148300913378,0.9828444123268127,AU-Preston
Qh,42,morp,0.9954574170420425,0.9343782067298889,AU-Preston
Qle,42,morp,0.5970057743294016,0.4465024769306183,AU-Preston
Qtau,42,morp,0.4393633176758628,0.9024814367294312,AU-Preston
SWup,43,morp,1.1094124251677195,0.9974367022514343,AU-Preston
LWup,43,morp,1.1989998885602013,0.9830527901649475,AU-Preston
Qh,43,morp,0.9762065725124741,0.9359206557273865,AU-Preston
Qle,43,morp,0.595341668256687,0.4585915505886078,AU-Preston
Qtau,43,morp,0.43973302321354024,0.9050338864326477,AU-Preston
SWup,44,morp,1.1084736574003191,0.9974383115768433,AU-Preston
LWup,44,morp,1.2329665772023797,0.97517329454422,AU-Preston
Qh,44,morp,0.8322226921377277,0.9313279390335083,AU-Preston
Qle,44,morp,0.5832401899560139,0.4669964611530304,AU-Preston
Qtau,44,morp,0.2354859156935983,0.8758425712585449,AU-Preston
SWup,45,morp,1.1094124251677195,0.9974367022514343,AU-Preston
LWup,45,morp,1.2386561401766858,0.9753313064575195,AU-Preston
Qh,45,morp,0.8187230860581695,0.9295308589935303,AU-Preston
Qle,45,morp,0.5884323538879768,0.47229036688804626,AU-Preston
Qtau,45,morp,0.23484093979200657,0.8766924142837524,AU-Preston
SWup,46,morp,1.1084736574003191,0.9974383115768433,AU-Preston
LWup,46,morp,1.1956952298558676,0.982861340045929,AU-Preston
Qh,46,morp,0.9990334974756396,0.9334347248077393,AU-Preston
Qle,46,morp,0.5997996467188165,0.4472762942314148,AU-Preston
Qtau,46,morp,0.43943636991250923,0.9026488661766052,AU-Preston
SWup,47,morp,1.1094124251677195,0.9974367022514343,AU-Preston
LWup,47,morp,1.2035483218821128,0.9830464124679565,AU-Preston
Qh,47,morp,0.9800128881065557,0.9349433183670044,AU-Preston
Qle,47,morp,0.5982113183090058,0.459137886762619,AU-Preston
Qtau,47,morp,0.43976896067564547,0.9050487279891968,AU-Preston
SWup,48,morp,1.1084736574003191,0.9974383115768433,AU-Preston
LWup,48,morp,1.2392059329947092,0.972709596157074,AU-Preston
Qh,48,morp,0.7829445104787056,0.9329253435134888,AU-Preston
Qle,48,morp,0.5823500883703377,0.46566951274871826,AU-Preston
Qtau,48,morp,0.20847061286882548,0.8690581917762756,AU-Preston
SWup,49,morp,1.1094124251677195,0.9974367022514343,AU-Preston
LWup,49,morp,1.2454283934489137,0.9727432131767273,AU-Preston
Qh,49,morp,0.7671766714724609,0.9298561811447144,AU-Preston
Qle,49,morp,0.5905570952162776,0.46877625584602356,AU-Preston
Qtau,49,morp,0.2077950415603063,0.8697307109832764,AU-Preston
SWup,50,morp,1.1084736574003191,0.9974383115768433,AU-Preston
LWup,50,morp,1.2028586217778363,0.9805710911750793,AU-Preston
Qh,50,morp,0.9421213274960687,0.935664176940918,AU-Preston
Qle,50,morp,0.5914247494565276,0.45113033056259155,AU-Preston
Qtau,50,morp,0.375256359782913,0.8957779407501221,AU-Preston
SWup,51,morp,1.1094124251677195,0.9974367022514343,AU-Preston
LWup,51,morp,1.2107573080727199,0.980712890625,AU-Preston
Qh,51,morp,0.9216716359352473,0.9369254112243652,AU-Preston
Qle,51,morp,0.594347265151976,0.46032729744911194,AU-Preston
Qtau,51,morp,0.37519690550490103,0.8979789018630981,AU-Preston
SWup,52,morp,1.1084736574003191,0.9974383115768433,AU-Preston
LWup,52,morp,1.2427096326687332,0.9726313352584839,AU-Preston
Qh,52,morp,0.7896701087684476,0.9315363168716431,AU-Preston
Qle,52,morp,0.5844745437451937,0.4659499526023865,AU-Preston
Qtau,52,morp,0.20842109216449126,0.8689324259757996,AU-Preston
SWup,53,morp,1.1094124251677195,0.9974367022514343,AU-Preston
LWup,53,morp,1.249032423658241,0.972668468952179,AU-Preston
Qh,53,morp,0.7738854477245953,0.9284197092056274,AU-Preston
Qle,53,morp,0.5928836481883313,0.46889984607696533,AU-Preston
Qtau,53,morp,0.20777354089194602,0.8695999383926392,AU-Preston
SWup,54,morp,1.1084736574003191,0.9974383115768433,AU-Preston
LWup,54,morp,1.2062737945089457,0.9805532693862915,AU-Preston
Qh,54,morp,0.9452098325073485,0.9348081350326538,AU-Preston
Qle,54,morp,0.5939397457487837,0.45155417919158936,AU-Preston
Qtau,54,morp,0.3751882816913082,0.8958433866500854,AU-Preston
SWup,55,morp,1.1094124251677195,0.9974367022514343,AU-Preston
LWup,55,morp,1.2143240759609772,0.9806751608848572,AU-Preston
Qh,55,morp,0.924707829155597,0.9359667301177979,AU-Preston
Qle,55,morp,0.597235931108382,0.4604661762714386,AU-Preston
Qtau,55,morp,0.3753471305717194,0.897818922996521,AU-Preston
SWup,56,morp,1.1084736574003191,0.9974383115768433,AU-Preston
LWup,56,morp,1.2395551804636196,0.9727095365524292,AU-Preston
Qh,56,morp,0.7877152192507391,0.9313388466835022,AU-Preston
Qle,56,morp,0.5843729945280663,0.4667071998119354,AU-Preston
Qtau,56,morp,0.20861197865956385,0.8700292110443115,AU-Preston
SWup,57,morp,1.1094124251677195,0.9974367022514343,AU-Preston
LWup,57,morp,1.245642593934319,0.972800076007843,AU-Preston
Qh,57,morp,0.7725544501408516,0.9284628629684448,AU-Preston
Qle,57,morp,0.5912227948360526,0.47087541222572327,AU-Preston
Qtau,57,morp,0.207964603983884,0.8707627058029175,AU-Preston
SWup,58,morp,1.1084736574003191,0.9974383115768433,AU-Preston
LWup,58,morp,1.2024883129970165,0.9805387854576111,AU-Preston
Qh,58,morp,0.9472213052424641,0.9346621632575989,AU-Preston
Qle,58,morp,0.594822412544892,0.45091041922569275,AU-Preston
Qtau,58,morp,0.37522310070659937,0.8960922360420227,AU-Preston
SWup,59,morp,1.1094124251677195,0.9974367022514343,AU-Preston
LWup,59,morp,1.2103912809871784,0.9807354211807251,AU-Preston
Qh,59,morp,0.9272292363849599,0.9358160495758057,AU-Preston
Qle,59,morp,0.596072815471168,0.4611307978630066,AU-Preston
Qtau,59,morp,0.3754021404952859,0.8981665968894958,AU-Preston
SWup,60,morp,1.1084736574003191,0.9974383115768433,AU-Preston
LWup,60,morp,1.244193297943386,0.9725826978683472,AU-Preston
Qh,60,morp,0.7949303968418866,0.9298861026763916,AU-Preston
Qle,60,morp,0.5868130352735728,0.4670120179653168,AU-Preston
Qtau,60,morp,0.20851530659217263,0.8695957064628601,AU-Preston
SWup,61,morp,1.1094124251677195,0.9974367022514343,AU-Preston
LWup,61,morp,1.2504037233622138,0.9726583361625671,AU-Preston
Qh,61,morp,0.7796977517531305,0.9270099401473999,AU-Preston
Qle,61,morp,0.5938734045495622,0.4710494577884674,AU-Preston
Qtau,61,morp,0.20790129400764454,0.8703187704086304,AU-Preston
SWup,62,morp,1.1084736574003191,0.9974383115768433,AU-Preston
LWup,62,morp,1.2071692474295652,0.9805230498313904,AU-Preston
Qh,62,morp,0.9507558315518145,0.9336315989494324,AU-Preston
Qle,62,morp,0.5977524702624503,0.45152485370635986,AU-Preston
Qtau,62,morp,0.37515811306013874,0.8960123658180237,AU-Preston
SWup,63,morp,1.1094124251677195,0.9974367022514343,AU-Preston
LWup,63,morp,1.2152577169746188,0.9806861281394958,AU-Preston
Qh,63,morp,0.9306407877986966,0.9347334504127502,AU-Preston
Qle,63,morp,0.5998221655526039,0.4616685211658478,AU-Preston
Qtau,63,morp,0.37535242847768086,0.8980411291122437,AU-Preston
SWup,64,morp,1.1152525600725451,0.9972087144851685,AU-Preston
LWup,64,morp,1.1969309634148508,0.9781085252761841,AU-Preston
Qh,64,morp,0.8915465509083563,0.945205807685852,AU-Preston
Qle,64,morp,0.5305301526625792,0.48849865794181824,AU-Preston
Qtau,64,morp,0.3057115051149895,0.8690155148506165,AU-Preston
SWup,0,morp,1.2498907601682743,0.9810771346092224,US-Baltimore
LWup,0,morp,0.9686346812831792,0.9653582572937012,US-Baltimore
Qh,0,morp,0.51800663921135,0.7555893659591675,US-Baltimore
Qle,0,morp,0.46046204716292133,0.4170604944229126,US-Baltimore
Qtau,0,morp,0.13858661451637505,0.8900850415229797,US-Baltimore
SWup,1,morp,1.250770744142161,0.9810770153999329,US-Baltimore
LWup,1,morp,0.9819687203494162,0.9667831063270569,US-Baltimore
Qh,1,morp,0.5248119921475982,0.733561635017395,US-Baltimore
Qle,1,morp,0.47100667850162103,0.4321228563785553,US-Baltimore
Qtau,1,morp,0.13909066742204693,0.8919652700424194,US-Baltimore
SWup,2,morp,1.2499128857725104,0.9810771346092224,US-Baltimore
LWup,2,morp,0.9492728990723533,0.9711448550224304,US-Baltimore
Qh,2,morp,0.5853895900442917,0.8212985992431641,US-Baltimore
Qle,2,morp,0.4174113451845564,0.41146060824394226,US-Baltimore
Qtau,2,morp,0.2519121870437757,0.8777561187744141,US-Baltimore
SWup,3,morp,1.2507921009030065,0.9810770750045776,US-Baltimore
LWup,3,morp,0.9657565979491924,0.9730938673019409,US-Baltimore
Qh,3,morp,0.5895167836240216,0.8026408553123474,US-Baltimore
Qle,3,morp,0.4392393400720703,0.41784045100212097,US-Baltimore
Qtau,3,morp,0.2532869718693483,0.8824995756149292,US-Baltimore
SWup,4,morp,1.2498907601682743,0.9810771346092224,US-Baltimore
LWup,4,morp,0.9682116989604815,0.9655579924583435,US-Baltimore
Qh,4,morp,0.5225608934086613,0.7481206059455872,US-Baltimore
Qle,4,morp,0.4602463841042992,0.4217073619365692,US-Baltimore
Qtau,4,morp,0.1387105876713224,0.8914669156074524,US-Baltimore
SWup,5,morp,1.250770744142161,0.9810770153999329,US-Baltimore
LWup,5,morp,0.9815944858735797,0.9670016765594482,US-Baltimore
Qh,5,morp,0.5295087302295667,0.7263463735580444,US-Baltimore
Qle,5,morp,0.47234889659695123,0.43478602170944214,US-Baltimore
Qtau,5,morp,0.1392000740853725,0.893022358417511,US-Baltimore
SWup,6,morp,1.2499128857725104,0.9810771346092224,US-Baltimore
LWup,6,morp,0.9504306277624869,0.9714712500572205,US-Baltimore
Qh,6,morp,0.5839629915339644,0.8166500926017761,US-Baltimore
Qle,6,morp,0.4192147753855601,0.41543716192245483,US-Baltimore
Qtau,6,morp,0.2521410018957139,0.8792955875396729,US-Baltimore
SWup,7,morp,1.2507921009030065,0.9810770750045776,US-Baltimore
LWup,7,morp,0.966890998246123,0.9734205603599548,US-Baltimore
Qh,7,morp,0.5883209943429744,0.7974137663841248,US-Baltimore
Qle,7,morp,0.4396923406098636,0.42131781578063965,US-Baltimore
Qtau,7,morp,0.25352254156407295,0.8843413591384888,US-Baltimore
SWup,8,morp,1.2498907601682743,0.9810771346092224,US-Baltimore
LWup,8,morp,0.9565717455911297,0.9646232724189758,US-Baltimore
Qh,8,morp,0.5163846202650503,0.7435317635536194,US-Baltimore
Qle,8,morp,0.45811230315275814,0.4305301606655121,US-Baltimore
Qtau,8,morp,0.13868114963066264,0.8912923336029053,US-Baltimore
SWup,9,morp,1.250770744142161,0.9810770153999329,US-Baltimore
LWup,9,morp,0.9697228822131784,0.9661304354667664,US-Baltimore
Qh,9,morp,0.5233880331329044,0.7214139699935913,US-Baltimore
Qle,9,morp,0.4719581907120423,0.43469107151031494,US-Baltimore
Qtau,9,morp,0.1392477066219249,0.8931838274002075,US-Baltimore
SWup,10,morp,1.2499128857725104,0.9810771346092224,US-Baltimore
LWup,10,morp,0.9391645821407755,0.9703908562660217,US-Baltimore
Qh,10,morp,0.5848416503026084,0.8085784316062927,US-Baltimore
Qle,10,morp,0.41639478397089597,0.4140194356441498,US-Baltimore
Qtau,10,morp,0.25202810886191795,0.8782317638397217,US-Baltimore
SWup,11,morp,1.2507921009030065,0.9810770750045776,US-Baltimore
LWup,11,morp,0.9555156293699896,0.9724209904670715,US-Baltimore
Qh,11,morp,0.5897293119020626,0.7887714505195618,US-Baltimore
Qle,11,morp,0.4382707869276782,0.42060887813568115,US-Baltimore
Qtau,11,morp,0.253450482644412,0.88310307264328,US-Baltimore
SWup,12,morp,1.2498907601682743,0.9810771346092224,US-Baltimore
LWup,12,morp,0.9569080795962163,0.9648611545562744,US-Baltimore
Qh,12,morp,0.5203826251973879,0.7362286448478699,US-Baltimore
Qle,12,morp,0.45968810045481273,0.43299001455307007,US-Baltimore
Qtau,12,morp,0.13876382019044298,0.8922737836837769,US-Baltimore
SWup,13,morp,1.250770744142161,0.9810770153999329,US-Baltimore
LWup,13,morp,0.9701290053609563,0.9663506746292114,US-Baltimore
Qh,13,morp,0.5278045936413377,0.7143978476524353,US-Baltimore
Qle,13,morp,0.4739598569138158,0.4296726584434509,US-Baltimore
Qtau,13,morp,0.13935043470681804,0.8940660357475281,US-Baltimore
SWup,14,morp,1.2499128857725104,0.9810771346092224,US-Baltimore
LWup,14,morp,0.9411370402607553,0.9707516431808472,US-Baltimore
Qh,14,morp,0.583045962319538,0.8038619756698608,US-Baltimore
Qle,14,morp,0.41804283792197805,0.41768917441368103,US-Baltimore
Qtau,14,morp,0.2522396008105811,0.879657506942749,US-Baltimore
SWup,15,morp,1.2507921009030065,0.9810770750045776,US-Baltimore
LWup,15,morp,0.9574685491438414,0.972771406173706,US-Baltimore
Qh,15,morp,0.5881350565394629,0.7835678458213806,US-Baltimore
Qle,15,morp,0.4386035227471757,0.4236982464790344,US-Baltimore
Qtau,15,morp,0.2536555683873358,0.8848038911819458,US-Baltimore
SWup,16,morp,1.2498907601682743,0.9810771346092224,US-Baltimore
LWup,16,morp,0.9653736071576999,0.9616898894309998,US-Baltimore
