,Index,label_longname,Type
36,36,CANYON_HWR_0.8_HT_ROOF_1.2_THICK_ROOF_1.2_THICK_WALL_0.8_WTLUNIT_ROOF_1.2_WTROAD_PERV_1.2,morp
37,37,CANYON_HWR_0.8_HT_ROOF_1.2_THICK_ROOF_1.2_THICK_WALL_0.8_WTLUNIT_ROOF_1.2_WTROAD_PERV_0.8,morp
38,38,CANYON_HWR_0.8_HT_ROOF_1.2_THICK_ROOF_1.2_THICK_WALL_0.8_WTLUNIT_ROOF_0.8_WTROAD_PERV_1.2,morp
39,39,CANYON_HWR_0.8_HT_ROOF_1.2_THICK_ROOF_1.2_THICK_WALL_0.8_WTLUNIT_ROOF_0.8_WTROAD_PERV_0.8,morp
40,40,CANYON_HWR_0.8_HT_ROOF_1.2_THICK_ROOF_0.8_THICK_WALL_1.2_WTLUNIT_ROOF_1.2_WTROAD_PERV_1.2,morp
41,41,CANYON_HWR_0.8_HT_ROOF_1.2_THICK_ROOF_0.8_THICK_WALL_1.2_WTLUNIT_ROOF_1.2_WTROAD_PERV_0.8,morp
42,42,CANYON_HWR_0.8_HT_ROOF_1.2_THICK_ROOF_0.8_THICK_WALL_1.2_WTLUNIT_ROOF_0.8_WTROAD_PERV_1.2,morp
43,43,CANYON_HWR_0.8_HT_ROOF_1.2_THICK_ROOF_0.8_THICK_WALL_1.2_WTLUNIT_ROOF_0.8_WTROAD_PERV_0.8,morp
44,44,CANYON_HWR_0.8_HT_ROOF_1.2_THICK_ROOF_0.8_THICK_WALL_0.8_WTLUNIT_ROOF_1.2_WTROAD_PERV_1.2,morp
45,45,CANYON_HWR_0.8_HT_ROOF_1.2_THICK_ROOF_0.8_THICK_WALL_0.8_WTLUNIT_ROOF_1.2_WTROAD_PERV_0.8,morp
46,46,CANYON_HWR_0.8_HT_ROOF_1.2_THICK_ROOF_0.8_THICK_WALL_0.8_WTLUNIT_ROOF_0.8_WTROAD_PERV_1.2,morp
47,47,CANYON_HWR_0.8_HT_ROOF_1.2_THICK_ROOF_0.8_THICK_WALL_0.8_WTLUNIT_ROOF_0.8_WTROAD_PERV_0.8,morp
48,48,CANYON_HWR_0.8_HT_ROOF_0.8_THICK_ROOF_1.2_THICK_WALL_1.2_WTLUNIT_ROOF_1.2_WTROAD_PERV_1.2,morp
49,49,CANYON_HWR_0.8_HT_ROOF_0.8_THICK_ROOF_1.2_THICK_WALL_1.2_WTLUNIT_ROOF_1.2_WTROAD_PERV_0.8,morp
50,50,CANYON_HWR_0.8_HT_ROOF_0.8_THICK_ROOF_1.2_THICK_WALL_1.2_WTLUNIT_ROOF_0.8_WTROAD_PERV_1.2,morp
51,51,CANYON_HWR_0.8_HT_ROOF_0.8_THICK_ROOF_1.2_THICK_WALL_1.2_WTLUNIT_ROOF_0.8_WTROAD_PERV_0.8,morp
52,52,CANYON_HWR_0.8_HT_ROOF_0.8_THICK_ROOF_1.2_THICK_WALL_0.8_WTLUNIT_ROOF_1.2_WTROAD_PERV_1.2,morp
53,53,CANYON_HWR_0.8_HT_ROOF_0.8_THICK_ROOF_1.2_THICK_WALL_0.8_WTLUNIT_ROOF_1.2_WTROAD_PERV_0.8,morp
54,54,CANYON_HWR_0.8_HT_ROOF_0.8_THICK_ROOF_1.2_THICK_WALL_0.8_WTLUNIT_ROOF_0.8_WTROAD_PERV_1.2,morp
55,55,CANYON_HWR_0.8_HT_ROOF_0.8_THICK_ROOF_1.2_THICK_WALL_0.8_WTLUNIT_ROOF_0.8_WTROAD_PERV_0.8,morp
56,56,CANYON_HWR_0.8_HT_ROOF_0.8_THICK_ROOF_0.8_THICK_WALL_1.2_WTLUNIT_ROOF_1.2_WTROAD_PERV_1.2,morp
57,57,CANYON_HWR_0.8_HT_ROOF_0.8_THICK_ROOF_0.8_THICK_WALL_1.2_WTLUNIT_ROOF_1.2_WTROAD_PERV_0.8,morp
58,58,CANYON_HWR_0.8_HT_ROOF_0.8_THICK_ROOF_0.8_THICK_WALL_1.2_WTLUNIT_ROOF_0.8_WTROAD_PERV_1.2,morp
59,59,CANYON_HWR_0.8_HT_ROOF_0.8_THICK_ROOF_0.8_THICK_WALL_1.2_WTLUNIT_ROOF_0.8_WTROAD_PERV_0.8,morp
60,60,CANYON_HWR_0.8_HT_ROOF_0.8_THICK_ROOF_0.8_THICK_WALL_0.8_WTLUNIT_ROOF_1.2_WTROAD_PERV_1.2,morp
61,61,CANYON_HWR_0.8_HT_ROOF_0.8_THICK_ROOF_0.8_THICK_WALL_0.8_WTLUNIT_ROOF_1.2_WTROAD_PERV_0.8,morp
62,62,CANYON_HWR_0.8_HT_ROOF_0.8_THICK_ROOF_0.8_THICK_WALL_0.8_WTLUNIT_ROOF_0.8_WTROAD_PERV_1.2,morp
63,63,CANYON_HWR_0.8_HT_ROOF_0.8_THICK_ROOF_0.8_THICK_WALL_0.8_WTLUNIT_ROOF_0.8_WTROAD_PERV_0.8,morp
64,0,ALB_IMPROAD_DIF_1.2_ALB_PERROAD_DIF_1.2_ALB_ROOF_DIF_1.2_ALB_WALL_DIF_1.2_EM_IMPROAD_1.2_EM_PERROAD_1.2_EM_ROOF_1.2_EM_WALL_1.2,radi
65,1,ALB_IMPROAD_DIF_1.2_ALB_PERROAD_DIF_1.2_ALB_ROOF_DIF_1.2_ALB_WALL_DIF_1.2_EM_IMPROAD_1.2_EM_PERROAD_1.2_EM_ROOF_1.2_EM_WALL_0.8,radi
