Variable,Model,sdev,coef,site
Qh,S-LI_LCZ,0.8428042150862468,0.7874512076377869,KR-Jungnang
Qle,S-CNTL,0.7454710474484839,0.3418042063713074,KR-Jungnang
Qle,S-WRF_LCZ,0.700472247548619,0.34819960594177246,KR-Jungnang
Qle,S-LI_LCZ,0.693672743553806,0.34731391072273254,KR-Jungnang
Rn,S-CNTL,0.9819310308008127,0.9954022212636219,KR-Ochang
Rn,S-WRF_LCZ,0.9891848732746665,0.9955035076748561,KR-Ochang
Rn,S-LI_LCZ,0.9918862027100153,0.9955231609822258,KR-Ochang
SWup,S-CNTL,0.9952753622730461,0.9464142918586731,KR-Ochang
SWup,S-WRF_LCZ,0.9952551394427346,0.9464030861854553,KR-Ochang
SWup,S-LI_LCZ,0.9952480298539532,0.9463983178138733,KR-Ochang
LWup,S-CNTL,1.04579799230731,0.9891377091407776,KR-Ochang
LWup,S-WRF_LCZ,1.037355859988821,0.9892054200172424,KR-Ochang
LWup,S-LI_LCZ,1.0343168707353856,0.9891806840896606,KR-Ochang
Qh,S-CNTL,0.7856039811495935,0.8457226753234863,KR-Ochang
Qh,S-WRF_LCZ,0.7828481681254723,0.8400758504867554,KR-Ochang
Qh,S-LI_LCZ,0.7810893427977861,0.8385976552963257,KR-Ochang
Qle,S-CNTL,1.206316404345611,0.6958163380622864,KR-Ochang
Qle,S-WRF_LCZ,1.201983392700027,0.6921165585517883,KR-Ochang
Qle,S-LI_LCZ,1.200930302409452,0.6917406916618347,KR-Ochang
Rn,S-CNTL,,,MX-Escandon
Rn,S-WRF_LCZ,,,MX-Escandon
Rn,S-LI_LCZ,,,MX-Escandon
SWup,S-CNTL,1.0908104105935428,0.9833928942680359,MX-Escandon
SWup,S-WRF_LCZ,1.0908104105935428,0.9833928942680359,MX-Escandon
SWup,S-LI_LCZ,1.0908104105935428,0.9833928942680359,MX-Escandon
Qh,S-CNTL,1.3290612134977415,0.8370206952095032,MX-Escandon
Qh,S-WRF_LCZ,1.0104734031282983,0.8031507730484009,MX-Escandon
Qh,S-LI_LCZ,1.0369689883030397,0.8068000674247742,MX-Escandon
Qle,S-CNTL,0.8523521461221502,0.28845322132110596,MX-Escandon
Qle,S-WRF_LCZ,0.7474523631486678,0.2964319884777069,MX-Escandon
Qle,S-LI_LCZ,0.7525969136555671,0.2967042326927185,MX-Escandon
Qtau,S-CNTL,0.1354277261203304,0.6975979804992676,MX-Escandon
Qtau,S-WRF_LCZ,0.13694555869300581,0.7070550918579102,MX-Escandon
Qtau,S-LI_LCZ,0.13711852588007556,0.7081286311149597,MX-Escandon
Rn,S-CNTL,0.9524819608752448,0.9991686649114447,NL-Amsterdam
Rn,S-WRF_LCZ,0.9912108840331939,0.9991348506754585,NL-Amsterdam
Rn,S-LI_LCZ,0.9978597575621211,0.9990952783069127,NL-Amsterdam
SWup,S-CNTL,0.9399346229998994,0.9856853485107422,NL-Amsterdam
SWup,S-WRF_LCZ,0.9401294460012521,0.9856693148612976,NL-Amsterdam
SWup,S-LI_LCZ,0.9401004558491074,0.9856728315353394,NL-Amsterdam
LWup,S-CNTL,1.1932459634806851,0.9789016246795654,NL-Amsterdam
LWup,S-WRF_LCZ,1.071410039771765,0.9898439049720764,NL-Amsterdam
LWup,S-LI_LCZ,1.055581541478838,0.9897228479385376,NL-Amsterdam
Qh,S-CNTL,0.9815855077505454,0.8610624670982361,NL-Amsterdam
Qh,S-WRF_LCZ,0.8575679188106172,0.8458040952682495,NL-Amsterdam
Qh,S-LI_LCZ,0.8126624973826987,0.8345950245857239,NL-Amsterdam
Qle,S-CNTL,0.9175413921403182,0.6545361876487732,NL-Amsterdam
Qle,S-WRF_LCZ,0.8757906471042333,0.6548804640769958,NL-Amsterdam
Qle,S-LI_LCZ,0.8667964682596675,0.6538800001144409,NL-Amsterdam
Qtau,S-CNTL,0.3506365985622788,0.7260231375694275,NL-Amsterdam
Qtau,S-WRF_LCZ,0.34411367714950813,0.7202193140983582,NL-Amsterdam
Qtau,S-LI_LCZ,0.3420796776478187,0.7181063890457153,NL-Amsterdam
Rn,S-CNTL,0.9161276337921965,0.9935374579464618,PL-Lipowa
Rn,S-WRF_LCZ,0.9522778215334943,0.9929791171579575,PL-Lipowa
Rn,S-LI_LCZ,0.956641085982386,0.9931320982735995,PL-Lipowa
SWup,S-CNTL,0.9706396776495294,0.8581946492195129,PL-Lipowa
SWup,S-WRF_LCZ,0.9690805413566439,0.8591300845146179,PL-Lipowa
SWup,S-LI_LCZ,0.9692080161455605,0.8592284917831421,PL-Lipowa
LWup,S-CNTL,1.0235546125205246,0.9663605093955994,PL-Lipowa
LWup,S-WRF_LCZ,0.9683370849168356,0.9784212112426758,PL-Lipowa
LWup,S-LI_LCZ,0.9636643077943001,0.9801073670387268,PL-Lipowa
Qh,S-CNTL,1.1413323306586454,0.8465823531150818,PL-Lipowa
Qh,S-WRF_LCZ,1.0218957180228871,0.822347104549408,PL-Lipowa
Qh,S-LI_LCZ,0.9951995044531785,0.8142200708389282,PL-Lipowa
Qle,S-CNTL,0.7032036522186432,0.5555136203765869,PL-Lipowa
Qle,S-WRF_LCZ,0.6880592654109476,0.5569866895675659,PL-Lipowa
Qle,S-LI_LCZ,0.6865594119104572,0.5563240647315979,PL-Lipowa
Rn,S-CNTL,0.963266059135457,0.9968409078688159,PL-Narutowicza
Rn,S-WRF_LCZ,0.9913134187615528,0.9969293835409576,PL-Narutowicza
Rn,S-LI_LCZ,0.995195670704613,0.9969449022870472,PL-Narutowicza
SWup,S-CNTL,0.9989795743269138,0.9465155005455017,PL-Narutowicza
SWup,S-WRF_LCZ,0.9969037877451241,0.9463297724723816,PL-Narutowicza
SWup,S-LI_LCZ,0.9975574374432687,0.9464461803436279,PL-Narutowicza
LWup,S-CNTL,1.0136144299962457,0.9728066325187683,PL-Narutowicza
LWup,S-WRF_LCZ,0.9704891165946007,0.9757115840911865,PL-Narutowicza
LWup,S-LI_LCZ,0.9658589108456003,0.9758209586143494,PL-Narutowicza
Qh,S-CNTL,0.9645286813979167,0.8555850386619568,PL-Narutowicza
Qh,S-WRF_LCZ,0.8928568245677919,0.8245062232017517,PL-Narutowicza
Qh,S-LI_LCZ,0.8696165269371423,0.8077477812767029,PL-Narutowicza
Qle,S-CNTL,0.6810551053552172,0.5310133099555969,PL-Narutowicza
Qle,S-WRF_LCZ,0.678716637943277,0.5294604897499084,PL-Narutowicza
Qle,S-LI_LCZ,0.6775224787985193,0.5291107892990112,PL-Narutowicza
Rn,S-CNTL,0.8979930586277003,0.9976032972335815,SG-TelokKurau06
Rn,S-WRF_LCZ,0.9446466546121917,0.9980286359786987,SG-TelokKurau06
Rn,S-LI_LCZ,0.9422718462519232,0.9979814291000366,SG-TelokKurau06
SWup,S-CNTL,1.067568660158105,0.9932089447975159,SG-TelokKurau06
SWup,S-WRF_LCZ,1.067568660158105,0.9932089447975159,SG-TelokKurau06
SWup,S-LI_LCZ,1.067568660158105,0.9932089447975159,SG-TelokKurau06
LWup,S-CNTL,2.0303357939273425,0.9771975874900818,SG-TelokKurau06
LWup,S-WRF_LCZ,1.6371104407933241,0.9819545745849609,SG-TelokKurau06
LWup,S-LI_LCZ,1.6607744839643253,0.9822672605514526,SG-TelokKurau06
Qh,S-CNTL,1.0989621876550475,0.9639501571655273,SG-TelokKurau06
Qh,S-WRF_LCZ,0.9494854839893263,0.9561171531677246,SG-TelokKurau06
Qh,S-LI_LCZ,0.9625353084011086,0.9572694301605225,SG-TelokKurau06
Qle,S-CNTL,0.8226942017436937,0.598953902721405,SG-TelokKurau06
Qle,S-WRF_LCZ,0.8016972660455733,0.5863991975784302,SG-TelokKurau06
Qle,S-LI_LCZ,0.802204765397814,0.5868532657623291,SG-TelokKurau06
Rn,S-CNTL,0.9364626357846354,0.9994349479675293,UK-KingsCollege
Rn,S-WRF_LCZ,0.9882461276956536,0.9992293119430542,UK-KingsCollege
Rn,S-LI_LCZ,0.9952803222823138,0.9991684556007385,UK-KingsCollege
SWup,S-CNTL,0.957757811665362,0.9856639504432678,UK-KingsCollege
SWup,S-WRF_LCZ,0.957757811665362,0.9856639504432678,UK-KingsCollege
SWup,S-LI_LCZ,0.957757811665362,0.9856639504432678,UK-KingsCollege
LWup,S-CNTL,1.1660673779921915,0.9801189303398132,UK-KingsCollege
LWup,S-WRF_LCZ,1.0544994459760344,0.9926902055740356,UK-KingsCollege
LWup,S-LI_LCZ,1.042207064347935,0.9917973279953003,UK-KingsCollege
Qh,S-CNTL,1.1718453109094369,0.8043496012687683,UK-KingsCollege
Qh,S-WRF_LCZ,0.8928340088695643,0.7630741596221924,UK-KingsCollege
Qh,S-LI_LCZ,0.8474870211191567,0.742756187915802,UK-KingsCollege
Qle,S-CNTL,0.9383391186445136,0.4259905517101288,UK-KingsCollege
Qle,S-WRF_LCZ,0.88631624791847,0.43051934242248535,UK-KingsCollege
Qle,S-LI_LCZ,0.8769798311731759,0.4302687644958496,UK-KingsCollege
Qtau,S-CNTL,0.8490433658846424,0.751006007194519,UK-KingsCollege
Qtau,S-WRF_LCZ,0.8122723293402792,0.7397123575210571,UK-KingsCollege
Qtau,S-LI_LCZ,0.8053486338654202,0.7382303476333618,UK-KingsCollege
Rn,S-CNTL,0.945140157140833,0.9989383220672607,UK-Swindon
Rn,S-WRF_LCZ,0.9671948126208443,0.9990251660346985,UK-Swindon
Rn,S-LI_LCZ,0.9671620286356436,0.9990488886833191,UK-Swindon
SWup,S-CNTL,0.9817846749080682,0.98836749792099,UK-Swindon
SWup,S-WRF_LCZ,0.9817849870067094,0.9883677959442139,UK-Swindon
SWup,S-LI_LCZ,0.9817848621672529,0.9883677363395691,UK-Swindon
LWup,S-CNTL,1.247452552527107,0.9836466312408447,UK-Swindon
LWup,S-WRF_LCZ,1.1892818179844828,0.9888432025909424,UK-Swindon
LWup,S-LI_LCZ,1.1881573567039103,0.9890560507774353,UK-Swindon
Qh,S-CNTL,0.9126950822157577,0.9353032112121582,UK-Swindon
Qh,S-WRF_LCZ,0.7987586630908182,0.9103420972824097,UK-Swindon
Qh,S-LI_LCZ,0.8055404155330109,0.9115650653839111,UK-Swindon
Qle,S-CNTL,1.0555139598983196,0.8096106052398682,UK-Swindon
Qle,S-WRF_LCZ,1.034943328044571,0.8059455156326294,UK-Swindon
Qle,S-LI_LCZ,1.0351818439232159,0.8058955669403076,UK-Swindon
Qtau,S-CNTL,0.3170451516212165,0.7399532794952393,UK-Swindon
Qtau,S-WRF_LCZ,0.3088199007305354,0.7309100031852722,UK-Swindon
Qtau,S-LI_LCZ,0.30903020323075814,0.7310741543769836,UK-Swindon
Rn,S-CNTL,0.9110520190044721,0.9954494485700759,US-Baltimore
Rn,S-WRF_LCZ,0.9227970567078383,0.995587905418001,US-Baltimore
Rn,S-LI_LCZ,0.921928868887955,0.9955825007019793,US-Baltimore
SWup,S-CNTL,1.155704788067463,0.9364268779754639,US-Baltimore
SWup,S-WRF_LCZ,1.1531040159112325,0.9376925826072693,US-Baltimore
SWup,S-LI_LCZ,1.153288375005477,0.9378103017807007,US-Baltimore
LWup,S-CNTL,1.2478532921371888,0.966163694858551,US-Baltimore
LWup,S-WRF_LCZ,1.2243793704511101,0.9720766544342041,US-Baltimore
LWup,S-LI_LCZ,1.2254146430656403,0.9716944098472595,US-Baltimore
Qh,S-CNTL,0.7800644757857395,0.772125244140625,US-Baltimore
Qh,S-WRF_LCZ,0.7457288539738385,0.7523174285888672,US-Baltimore
Qh,S-LI_LCZ,0.7532159060029958,0.7553887367248535,US-Baltimore
Qle,S-CNTL,1.0048513992351664,0.6667326092720032,US-Baltimore
Qle,S-WRF_LCZ,0.9973829553963384,0.6637986898422241,US-Baltimore
Qle,S-LI_LCZ,0.9983002764992841,0.6639266610145569,US-Baltimore
Qtau,S-CNTL,0.354130333522831,0.8659312129020691,US-Baltimore
Qtau,S-WRF_LCZ,0.3526749587454957,0.862206757068634,US-Baltimore
Qtau,S-LI_LCZ,0.3528724797129352,0.8628942966461182,US-Baltimore
Rn,S-CNTL,0.9792401133200239,0.9762017662204657,US-Minneapolis1
Rn,S-WRF_LCZ,0.9887545066050248,0.9761176334750121,US-Minneapolis1
Rn,S-LI_LCZ,0.9879200438096677,0.9760119165245661,US-Minneapolis1
SWup,S-CNTL,0.7689437702226726,0.9095173478126526,US-Minneapolis1
SWup,S-WRF_LCZ,0.7659887463228006,0.9089558124542236,US-Minneapolis1
SWup,S-LI_LCZ,0.7652587345404451,0.9084302186965942,US-Minneapolis1
LWup,S-CNTL,0.9767758893585513,0.9893183708190918,US-Minneapolis1
LWup,S-WRF_LCZ,0.9689872930866448,0.9880515933036804,US-Minneapolis1
LWup,S-LI_LCZ,0.9687716544614288,0.9882856011390686,US-Minneapolis1
Qh,S-CNTL,0.6160681765587741,0.8625368475914001,US-Minneapolis1
Qh,S-WRF_LCZ,0.6043450939787557,0.8554986715316772,US-Minneapolis1
Qh,S-LI_LCZ,0.6094727420905368,0.8578759431838989,US-Minneapolis1
Qle,S-CNTL,1.419279954884021,0.8393023014068604,US-Minneapolis1
Qle,S-WRF_LCZ,1.3932105202210197,0.8370523452758789,US-Minneapolis1
Qle,S-LI_LCZ,1.3947531475224708,0.8370927572250366,US-Minneapolis1
Qtau,S-CNTL,0.350169015536743,0.878151535987854,US-Minneapolis1
Qtau,S-WRF_LCZ,0.34955463245613205,0.8782122135162354,US-Minneapolis1
Qtau,S-LI_LCZ,0.3497764511032412,0.8784471154212952,US-Minneapolis1
Rn,S-CNTL,1.025618286196817,0.980306092334398,US-Minneapolis2
Rn,S-WRF_LCZ,1.027420084639581,0.9797095555103055,US-Minneapolis2
Rn,S-LI_LCZ,1.027658911219765,0.979690938936057,US-Minneapolis2
SWup,S-CNTL,0.7615058772313267,0.8920323252677917,US-Minneapolis2
SWup,S-WRF_LCZ,0.7611733875276956,0.8909232020378113,US-Minneapolis2
SWup,S-LI_LCZ,0.761172672688236,0.8908782601356506,US-Minneapolis2
LWup,S-CNTL,0.8997087339157805,0.9828814268112183,US-Minneapolis2
LWup,S-WRF_LCZ,0.9056055156543708,0.9825425148010254,US-Minneapolis2
LWup,S-LI_LCZ,0.9055103771572468,0.9824608564376831,US-Minneapolis2
Qh,S-CNTL,0.6900689673254691,0.6217196583747864,US-Minneapolis2
Qh,S-WRF_LCZ,0.6987100911319549,0.6466734409332275,US-Minneapolis2
Qh,S-LI_LCZ,0.6983288550310583,0.6471945643424988,US-Minneapolis2
Qle,S-CNTL,1.5204718453916575,0.8905029296875,US-Minneapolis2
Qle,S-WRF_LCZ,1.4956076806097784,0.8871081471443176,US-Minneapolis2
Qle,S-LI_LCZ,1.4942948548218418,0.886976957321167,US-Minneapolis2
Qtau,S-CNTL,0.36332976274340417,0.8211738467216492,US-Minneapolis2
Qtau,S-WRF_LCZ,0.3689805562996671,0.8273566961288452,US-Minneapolis2
Qtau,S-LI_LCZ,0.36911435321032987,0.8275676965713501,US-Minneapolis2
Rn,S-CNTL,0.9757634001343377,0.9988780089371888,US-WestPhoenix
Rn,S-WRF_LCZ,0.9949386934068644,0.9985908806704872,US-WestPhoenix
Rn,S-LI_LCZ,0.9921338744709481,0.9986041508179864,US-WestPhoenix
SWup,S-CNTL,0.9897725343353921,0.9958409667015076,US-WestPhoenix
SWup,S-WRF_LCZ,0.9897725343353921,0.9958409667015076,US-WestPhoenix
SWup,S-LI_LCZ,0.9897725343353921,0.9958409667015076,US-WestPhoenix
LWup,S-CNTL,1.0509911570311345,0.9957998394966125,US-WestPhoenix
LWup,S-WRF_LCZ,1.0039714178793868,0.9943546652793884,US-WestPhoenix
LWup,S-LI_LCZ,1.007991796563246,0.9946526288986206,US-WestPhoenix
Qh,S-CNTL,1.0415668814600798,0.9396756291389465,US-WestPhoenix
Qh,S-WRF_LCZ,0.98653022341964,0.9310726523399353,US-WestPhoenix
Qh,S-LI_LCZ,0.9969564900583455,0.9326959252357483,US-WestPhoenix
Qle,S-CNTL,0.6322762589181787,0.3341839611530304,US-WestPhoenix
Qle,S-WRF_LCZ,0.6371853135896651,0.33256852626800537,US-WestPhoenix
Qle,S-LI_LCZ,0.6356641263818589,0.33278438448905945,US-WestPhoenix
