time,lndgrid,urban_heat,hour,minute,index,site,date
18:00,0,-27.556349,18,0,0,AU-Pre,2004-05-19 18:00:00
18:30,0,-32.324802,18,30,0,AU-Pre,2004-05-19 18:30:00
19:00,0,-18.378653,19,0,0,AU-Pre,2004-05-19 19:00:00
19:30,0,-21.077782,19,30,0,AU-Pre,2004-05-19 19:30:00
20:00,0,-13.2262,20,0,0,AU-Pre,2004-05-19 20:00:00
20:30,0,-17.436937,20,30,0,AU-Pre,2004-05-19 20:30:00
21:00,0,-32.72975,21,0,0,AU-Pre,2004-05-19 21:00:00
21:30,0,-22.09415,21,30,0,AU-Pre,2004-05-19 21:30:00
22:00,0,-19.578024,22,0,0,AU-Pre,2004-05-19 22:00:00
22:30,0,-9.816803,22,30,0,AU-Pre,2004-05-19 22:30:00
23:00,0,2.120019,23,0,0,AU-Pre,2004-05-19 23:00:00
23:30,0,21.319818,23,30,0,AU-Pre,2004-05-19 23:30:00
00:00,0,36.078274,0,0,0,AU-Pre,2004-05-20 00:00:00
00:30,0,44.54486,0,30,0,AU-Pre,2004-05-20 00:30:00
01:00,0,28.45466,1,0,0,AU-Pre,2004-05-20 01:00:00
01:30,0,15.649795,1,30,0,AU-Pre,2004-05-20 01:30:00
02:00,0,2.6571214,2,0,0,AU-Pre,2004-05-20 02:00:00
02:30,0,8.489851,2,30,0,AU-Pre,2004-05-20 02:30:00
03:00,0,17.952057,3,0,0,AU-Pre,2004-05-20 03:00:00
03:30,0,34.603657,3,30,0,AU-Pre,2004-05-20 03:30:00
04:00,0,18.875298,4,0,0,AU-Pre,2004-05-20 04:00:00
04:30,0,-3.3729331,4,30,0,AU-Pre,2004-05-20 04:30:00
05:00,0,2.620467,5,0,0,AU-Pre,2004-05-20 05:00:00
05:30,0,0.17930722,5,30,0,AU-Pre,2004-05-20 05:30:00
06:00,0,-2.1632023,6,0,0,AU-Pre,2004-05-20 06:00:00
06:30,0,-5.914649,6,30,0,AU-Pre,2004-05-20 06:30:00
07:00,0,-14.187655,7,0,0,AU-Pre,2004-05-20 07:00:00
07:30,0,-16.04616,7,30,0,AU-Pre,2004-05-20 07:30:00
08:00,0,-15.681021,8,0,0,AU-Pre,2004-05-20 08:00:00
08:30,0,-3.1321375,8,30,0,AU-Pre,2004-05-20 08:30:00
09:00,0,7.749539,9,0,0,AU-Pre,2004-05-20 09:00:00
09:30,0,4.6286755,9,30,0,AU-Pre,2004-05-20 09:30:00
10:00,0,1.0492511,10,0,0,AU-Pre,2004-05-20 10:00:00
10:30,0,0.45624343,10,30,0,AU-Pre,2004-05-20 10:30:00
11:00,0,1.855307,11,0,0,AU-Pre,2004-05-20 11:00:00
11:30,0,2.718212,11,30,0,AU-Pre,2004-05-20 11:30:00
12:00,0,-1.439128,12,0,0,AU-Pre,2004-05-20 12:00:00
12:30,0,-4.844899,12,30,0,AU-Pre,2004-05-20 12:30:00
13:00,0,-10.457048,13,0,0,AU-Pre,2004-05-20 13:00:00
13:30,0,-5.65133,13,30,0,AU-Pre,2004-05-20 13:30:00
14:00,0,-4.710702,14,0,0,AU-Pre,2004-05-20 14:00:00
14:30,0,-10.286939,14,30,0,AU-Pre,2004-05-20 14:30:00
15:00,0,-11.583302,15,0,0,AU-Pre,2004-05-20 15:00:00
15:30,0,-3.045187,15,30,0,AU-Pre,2004-05-20 15:30:00
16:00,0,-3.5624137,16,0,0,AU-Pre,2004-05-20 16:00:00
16:30,0,-9.901445,16,30,0,AU-Pre,2004-05-20 16:30:00
17:00,0,-7.274965,17,0,0,AU-Pre,2004-05-20 17:00:00
17:30,0,-6.771117,17,30,0,AU-Pre,2004-05-20 17:30:00
18:00,0,-2.3891625,18,0,0,AU-Pre,2004-05-20 18:00:00
18:30,0,-5.0440817,18,30,0,AU-Pre,2004-05-20 18:30:00
19:00,0,-4.6616597,19,0,0,AU-Pre,2004-05-20 19:00:00
19:30,0,-3.2337043,19,30,0,AU-Pre,2004-05-20 19:30:00
20:00,0,-6.1211166,20,0,0,AU-Pre,2004-05-20 20:00:00
20:30,0,-5.549943,20,30,0,AU-Pre,2004-05-20 20:30:00
21:00,0,-8.054828,21,0,0,AU-Pre,2004-05-20 21:00:00
